year,人均GDP,化石能源占比,非化石能源占比,能源强度,能源碳排强度,碳排强度,人口增长率,GDP增长率,人均GDP增长率,能源强度增长率,能源碳排强度增长率,fossilProp_frs,fossilProp_2total,fossilProp_eng,fossilProp_ids,fossilProp_3total,fossilProp_tfk,fossilProp_cst,fossilProp_life,carbEmisInc_total,carbEmisInc_frs,carbEmisInc_ids,carbEmisInc_3total,carbEmisInc_tfk,carbEmisInc_cst,carbEmisInc_life,consCEFactor_frs_coal,consCEFactor_frs_oil,consCEFactor_frs_gas,consCEFactor_frs_heat,consCEFactor_frs_ele,consCEFactor_frs_other,consCEFactor_ids_coal,consCEFactor_ids_oil,consCEFactor_ids_gas,consCEFactor_ids_heat,consCEFactor_ids_ele,consCEFactor_ids_other,consCEFactor_tfk_coal,consCEFactor_tfk_oil,consCEFactor_tfk_gas,consCEFactor_tfk_heat,consCEFactor_tfk_ele,consCEFactor_tfk_other,consCEFactor_cst_coal,consCEFactor_cst_oil,consCEFactor_cst_gas,consCEFactor_cst_heat,consCEFactor_cst_ele,consCEFactor_cst_other,consCEFactor_life_coal,consCEFactor_life_oil,consCEFactor_life_gas,consCEFactor_life_heat,consCEFactor_life_ele,consCEFactor_life_other,supCEFactor_ele_coal,supCEFactor_ele_oil,supCEFactor_ele_gas,supCEFactor_ele_heat,supCEFactor_ele_ele,supCEFactor_ele_other,supCEFactor_heat_coal,supCEFactor_heat_oil,supCEFactor_heat_gas,supCEFactor_heat_heat,supCEFactor_heat_ele,supCEFactor_heat_other,supCEFactor_other_coal,supCEFactor_other_oil,supCEFactor_other_gas,supCEFactor_other_heat,supCEFactor_other_ele,supCEFactor_other_other,supCEFactor_loss_coal,supCEFactor_loss_oil,supCEFactor_loss_gas,supCEFactor_loss_heat,supCEFactor_loss_ele,supCEFactor_loss_other,otherEleFactor,能源消耗增长率,人均能源消耗增长率,人均能源消耗
2010,5.25887431474558,0.963929607832536,0.0360703921674644,0.568804087952613,2.3942945325012,1.36188451784927,0.0195251444212602,0.110400018171331,0.0891345095776491,0.0276214368149741,0.0137228755566786,0.899076732267237,1.00722155024863,1.9096758784201,0.641490601085883,0.763674397828592,0.969807569813845,0.22450569764754,0.562137909004356,0.15672963555472,0.150777059811614,0.171364746784164,0.116351168081102,0.0691850182227935,0.167479868778531,0.0603274714972144,2.664,2.114,-,-,6.307,-,2.961,1.377,1.628,2.707,6.307,0.000,2.664,2.070,1.628,2.906,6.307,-,2.664,2.000,1.628,2.906,6.307,-,2.853,1.939,1.628,2.906,6.307,-,2.730,2.111,1.628,2.906,-,0.000,2.783,2.002,1.628,-,-,0.000,8.137,1.222,-,2.906,-,-,0.000,0.000,0.000,3.072,5.869,0.000,4.508,0.141070862112596,0.119217969616956,2.99126920825628
2011,5.72762149772093,0.968239209450747,0.0317607905492534,0.584515274128095,2.42715113841675,1.41870691302198,0.012067820101982,0.102443493465556,0.0892980406732697,-0.0544529602301239,-0.00670588439537261,0.896997506031781,1.0097994939365,1.72773391530667,0.632487065012667,0.754044037583552,0.965308608929249,0.24538997868094,0.569336066748288,0.0354218861767092,0.130044235823928,0.020244998200859,0.0855362142982072,0.0857963791825699,0.0852779368592264,0.117227437212648,2.664,2.116,-,-,6.445,-,2.632,1.496,1.572,2.861,6.445,0.000,2.664,2.065,1.628,2.916,6.445,-,2.664,2.006,1.628,2.916,6.445,-,3.039,1.951,1.628,2.916,6.445,-,2.657,2.274,1.628,2.916,-,0.000,2.656,2.273,1.628,-,-,0.000,0.165,1.250,-,2.906,-,-,0.000,0.000,0.000,3.031,5.995,0.000,4.459,0.0424121817599175,0.0299825377857363,3.34788224984232
2012,6.2390868751855,0.963422999548985,0.0365770004510154,0.552686687152098,2.41087494347243,1.33245848564578,0.00894479058007516,0.0971158818954525,0.0873894113320958,-0.0818819882507505,-0.01830718660094,0.896084260961653,1.00803057530101,1.7239030464602,0.621110837793118,0.748200810373751,0.963627728776326,0.243585759808956,0.571628916351876,-0.0111586446825703,-0.135416348813935,-0.0336587466092641,0.0900557046504765,0.0801369628879674,0.0999071917343785,0.112823829030476,2.664,2.119,-,-,6.253,-,2.664,1.577,1.628,2.985,6.253,0.000,2.664,2.064,1.628,3.032,6.253,-,-,2.042,1.628,3.032,6.253,-,3.140,1.954,1.628,3.032,6.253,-,2.656,2.141,1.628,-,-,0.000,2.657,2.078,1.628,-,-,0.000,-4.646,1.448,-,2.906,-,-,0.000,0.000,0.000,3.157,5.864,0.000,4.032,0.00728185214437739,-0.00164819567058937,3.44826025590041
2013,6.78431700445777,0.956382156541835,0.043617843458165,0.507431602328363,2.36673860601075,1.20095796314043,0.0108209519996484,0.0859897542484173,0.0743641117648648,-0.0802453266343388,-0.0272819385246115,0.852727530925915,1.00680722046454,1.85490213721158,0.615576734633326,0.738276548963422,0.96221841382967,0.209322530475288,0.530670120794549,-0.0284062530450653,0.0132757583806922,-0.0199334179411451,-0.014810493976889,0.0806300745576948,-0.107900061583769,-0.131608115645663,2.664,2.117,-,-,6.253,-,3.130,1.519,1.629,2.603,6.253,0.000,2.664,2.066,1.628,2.967,6.253,-,2.653,2.069,1.628,2.967,6.253,-,2.603,1.952,1.628,2.967,6.253,-,2.759,2.097,1.628,2.967,-,0.000,2.680,1.994,1.628,-,-,0.000,8.864,1.515,-,2.906,-,-,0.000,0.000,0.000,3.118,6.028,0.000,3.542,-0.0011558483027923,-0.011848587307918,3.44257684827557
2014,7.28882671242554,0.946649584601399,0.0533504153986007,0.466712587654938,2.30216938885774,1.07445143269378,0.00410815484435025,0.0860274856803651,0.0815841704310363,-0.05100144985332,-0.0114522822037529,0.850684297777406,0.993815620928729,1.94073169513652,0.623718329700873,0.745463673185815,0.962657553731261,0.174127090744322,0.574734467319886,0.0188353462712089,0.13876560079078,-0.00168216386637362,0.0831744942463584,0.0579024508877763,0.11303326290561,0.106177237934123,2.664,2.109,-,-,5.450,-,3.302,1.594,1.587,2.620,5.450,0.000,2.664,2.067,1.628,2.998,5.450,-,2.664,2.034,1.628,2.998,5.450,-,2.648,1.959,1.628,2.998,5.450,-,2.656,2.116,1.628,2.998,-,0.000,2.834,1.967,1.628,-,-,0.000,8.042,1.688,0.477,2.906,-,-,0.000,0.000,0.000,3.312,5.227,0.000,2.557,0.0306385093301108,0.0264218096006532,3.40178717592456
2015,7.88347959317435,0.948166555392468,0.0518334446075323,0.442909569019742,2.2758042953357,1.00797549962041,0.00798065208999024,0.0780099284368334,0.0694748219637364,-0.0431503225926626,0.00543447817365421,0.849700264990057,0.997645609194786,1.91696743504516,0.623364254044768,0.7415087456508,0.961487059229475,0.154584470346729,0.574976818506272,0.0370990809193019,0.0417385665194323,0.0250548613595034,0.0585102468998499,0.0359751235949949,0.0838165645204592,0.115715032536898,2.664,2.110,-,-,5.778,-,3.091,1.301,1.593,2.739,5.778,0.000,2.664,2.068,1.628,3.107,5.778,-,2.623,2.060,1.628,3.107,5.778,-,2.664,1.964,1.628,3.107,5.778,-,2.784,2.085,1.628,3.107,-,0.000,2.824,1.956,1.628,-,-,0.000,7.885,1.722,0.829,2.906,-,-,0.000,0.000,0.000,3.399,5.554,0.000,2.566,0.0314934522666908,0.0233266383912708,3.49166854898878
2016,8.43118293436489,0.946116298141797,0.0538837018582027,0.423797878237163,2.28817210410621,0.969722482761676,0.00501463347121694,0.0719796757387263,0.0666309126626536,-0.0446596273681469,0.00389835631632439,0.824579326355301,1.00123579154569,1.95329286932415,0.614219675994131,0.721785957163707,0.958468737733571,0.101426903006028,0.550122296908544,0.0280977908737838,0.0280632965913535,0.0113325750602313,0.0821495093523925,0.0592173065034872,0.106764990735921,0.0937437107347234,2.664,2.117,-,-,5.725,-,3.086,1.323,1.573,2.817,5.725,0.000,2.664,2.068,1.628,3.190,5.725,-,2.664,2.050,1.628,3.190,5.725,-,-,1.969,1.628,3.190,5.725,-,2.789,2.106,1.628,3.190,-,0.000,2.818,1.959,1.628,-,-,0.000,7.858,1.893,1.157,2.906,-,-,0.000,0.000,0.000,3.309,5.515,0.000,2.421,0.0241054628740079,0.0189955735637929,3.57311743861321
2017,8.99296034810741,0.936895274875118,0.063104725124882,0.40487122291568,2.29709221428109,0.93002653394607,0.00269365465661548,0.0670014909460588,0.064135078536491,-0.0413046779586941,-0.00783940469396692,0.813677286482276,0.996126600003245,1.9486432518722,0.596301363786082,0.70207750010664,0.953126308476686,0.0642975287762599,0.545349547154677,0.0149101809273198,0.0405359767821818,-0.00885249988091707,0.0942982999637575,0.0619670107678885,0.127511845269981,0.0851163602302382,2.664,2.117,-,-,5.696,-,3.166,1.364,1.599,2.926,5.696,0.000,2.664,2.068,1.628,3.278,5.696,-,2.664,2.033,1.628,3.278,5.696,-,-,1.968,1.628,3.278,5.696,-,2.810,2.080,1.628,3.278,-,0.000,2.824,1.926,1.628,-,-,0.000,7.320,2.037,-,2.906,-,-,0.000,0.000,0.000,3.400,5.490,0.000,3.069,0.0229293379810853,0.0201813218129916,3.64099085377046
2018,9.56972456630883,0.925461128096537,0.0745388719034633,0.388148147438405,2.27908437879398,0.88462237948469,0.00271128165480526,0.0585000097882053,0.055637878174992,-0.0295391485033926,0.00881053780787866,0.806846196215692,0.989483526957423,1.97447296998488,0.584208696863734,0.684137294310956,0.951876537610646,0.0465204550770938,0.538552637609984,0.0362832944134557,-0.0132020347661127,0.0329206072660139,0.0699324340315918,0.0633123551072106,0.0763378198440894,0.0211650538831345,2.664,2.116,-,-,5.596,-,3.256,1.452,1.604,3.194,5.596,0.000,2.664,2.070,1.628,3.745,5.596,-,2.664,2.034,1.628,3.745,5.596,-,-,1.973,1.628,3.745,5.596,-,2.878,1.971,1.628,3.745,-,0.000,2.791,1.934,1.628,-,-,0.000,7.333,2.483,-,2.906,-,-,0.000,0.000,0.000,3.919,5.430,0.000,3.531,0.027232820808229,0.0244552341257747,3.71447086190856
2019,10.1021637358974,0.919377540905734,0.0806224590942657,0.376682581669905,2.29916433788069,0.866055158476277,0.00252801658737832,0.0365500474727616,0.0339362395089912,-0.0588953694021042,0.00487266116899976,0.785291615223137,0.983214816801919,2.01219352112991,0.601629536097023,0.683817603425937,0.951597854253465,0.0441792581639232,0.5408329920238,-0.0197446595199238,-0.0309962609794153,-0.0236264348238872,-0.0219648972683883,0.00131844058361435,-0.0442205136089609,0.0138514820262375,2.664,2.116,-,-,5.649,-,3.348,1.558,1.601,3.083,5.649,0.000,2.664,2.069,1.628,3.662,5.649,-,2.664,2.034,1.628,3.662,5.649,-,-,1.982,1.628,3.662,5.649,-,2.938,2.058,1.628,3.662,-,0.000,2.788,1.922,1.628,-,-,0.000,7.260,2.356,0.881,2.906,-,-,0.000,0.000,0.000,3.827,5.479,0.000,3.836,-0.0244979504769153,-0.0269578172551132,3.80530911648991
